,comments
732,"Si le coffre fort pouvait fonctionner comme nos comptes épargnent avec, cela allait être très intéressant"
733,Envoyez seulement
734,Moi je veux que mon compte devient un compte classique
735,"Non mais Tiktak elle là pour me sauver la vie Merci à Orange merci infiniment à vous de penser à nous avec tiktak, tu n’as plus besoin de faire pitié devant qui que ce soit tu prends ton crédit tranquillement en Sandra de quelqu’un et c’est tout!!!
Merci !"
736,"Orange le seul réseau mobile qui reçoit virement bancaire. IBAN OM
même hors de l’UEMOA"
737,"C’est quand vous allez donner cadeau
la ou bien on n’a qu’à faire bruit d’abord quoi ?"
738,On départage la wari. Un sera fort que l'autre mais le plus important c'est de se mettre en sécurité. Merci orange pour la gestion financière. Vous nous mettez dans bon même
739,"Quel mot dire pour flatter. Actuellement je suis en vacances après 9 mois de stress. En m'offrant cette opportunité me ferait beaucoup plaisir pour retrouver la joie. Merci déjà à
Orange Money
pour l'initiative. Acte de me voir choisir"
740,Comment prendre un prêt avec orange s'il vous plaît
741,"Moi je veux commencer a déposer mon argent sur OM, mais votre histoire de timbres 100f m'énerve sérieux."
742,"Tik tak là moi Orange m'a mis au rouge hein. Je peux pas avoir aussi oh aaahh
Orange Money"
743,"Depuis je suis né
Mon commentaire n'a jamais été affiché comme ça
Eh
Orange Money
anitché"
744,"Orange Money
Kedjevara + Orange Money = coma dans l’ambiance
! Si je ne suis pas invité, je vais envoyer un SOS à MTN par jalousie
. Invitez-moi avant que la jalousie ne m’empoisonne"
745,Laissez coffre fort achetez les unités on va voir quelque chose
746,"Moi, quant les autres réseaux sautent sautent et que
Orange
me mets dans bon."
747,"Tiktak ????
C'est ql application ça encore"
748,Moi j’arrive pas à ouvrir mon coffre fort
749,"Bonjour
Orange Money
c’est quoi le soucis avec les retraits depuis hier ?"
750,"Orange songez a annuler nos dettes on va reprendre a zéro comme le fait la banque
mondiale souvent"
751,Moi j’arrive pas a ouvrir mon coffre fore
752,"Bon y’a pas réseau a la cité CIDT Bouake, depuis des mois maintenant c’est pour quelle raison ? respectez nous un peu, souvent même t’ai couche message ne passe pas. Internet même tu dois sortir de la cour te mettre dehors pour avoir réseau"
753,Bonjour Orange . Je vien de faire une transaction de mon orange money vers ma banque. Le compte orange money a été débité. Mais le compte banquaire n'a pas été créditéBonjour Orange . Je vien de faire une transaction de mon orange money vers ma banque. Le compte orange money a été débité. Mais le compte banquaire n'a pas été crédité
754,"Expliquer moi ça d’abord car c’est depuis samedi que j’ai lancé l’annulation et aujourd’hui j’ai reçu ça
Mais mon argent n’a pas été restitué"
755,"Orange Money
votre service iban ne fonctionne pas ...
Mon salaire est bloqué depuis 2 semaines j'ai des charges et des enfants à charges ...dites moi qu'es-ce que je dois faire .
J'ai des urgences c'est quoi le problème"
756,Bonjour Orange . Depuis le 8 juillet jai faire une transaction de 110.000 de mon orange money vers ma banque. Le compte orange money a été débité. Mais le compte banquaire n'a pas été crédité. Jusqa present jai pas encore reçu mon argent
757,"Orange Money
Merci pour le service mais s'il vous plaît revoyez le temps de réception, 24h c'est trop"
758,Un réseau que j'ai détesté hier mais aujourd'hui je suis vraiment satisfait de vos différents services en tout cas je vous dis merci
759,Génial
760,Merci beaucoup pour votre fidélité vous êtes meilleure réseaux
761,Ils sont pas reconnaissants
762,"En tout cas vrai vrai surprise heiiiinnn....dohi même
Hier je paye ma facture CIE par Max it...on m'envoie message pour me dire que j'ai 1Go de Data suite à mon règlement de facture...dohi même... jusqu'à aujourd'hui..
C'est pas fini heiiiinnn, le soir ils envoient message de bonus mensuel offert... je compose #122#, pour vérifier...vanhouan.....dohi encore... perdu est mieux..."
763,Orange c'est cool
764,Merci orange money
765,Mais ya pas orange money au Bénin
766,Très très fort
767,Bien
768,Étant en CI possible d'envoyer l'argent directement sur FLOOZ MOOV TG ?
769,Mais pas orange au Bénin
770,Sa ne passe pas j'ai essayé plusieurs fois
771,"Bako Cyrille Dei Venci
tu vois non"
772,Orange CI depuis quelques mois le réseau au centre nord ici a comportement de femmes courtes claire qui porte lunettes et qui répond toujours je n'en disconvient pas hein
773,https://t.me/FreeMoneyAfrx_bot?start=user5603158979
774,En tout cas moi je viens plus hein
775,"Orange Money
moi personnellement je vais arrêter de mettre mon argent sur orange money encore"
776,"Hommage à Orange Côte d’Ivoire
Cela fait plusieurs années que je suis abonné chez Orange CI, et jamais une seule fois déçu. Réseau stable, services rapides, innovations constantes… Je peux le dire haut et fort : le meilleur, c’est Orange !
Dans un monde où la qualité se fait rare, Orange CI reste une valeur sûre, un pilier, une référence nationale en matière de télécommunications. Grâce à vous, j’ai toujours été connecté, informé, et satisfait.
Je lance ce message avec toute la sincérité d’un client fidèle, pour dire MERCI
et aussi pour dire que des abonnés comme moi méritent d’être honorés. Pourquoi pas une reconnaissance officielle pour cette loyauté, cette confiance renouvelée année après année ?
Je suis prêt à porter haut vos couleurs. Orange, ce n’est pas qu’un réseau… c’est une fierté ivoirienne !
#ClientFidèle
#JamaisDéçu
#MerciOrange
#LeMeilleurCestOrange
#ReconnectéEtHonoré"
777,"Orange Money
je dit ow je vous ai fait quoi même epuis vous me dite je suis pas éligible avec Tik Tak la même avec mes lourdes transactions je fais chaque jour la aiie je vais porter plainte contre vous hein"
778,Femme claire yako
779,Pourquoi votre méga est très consommables que les autres réseaux
780,Ruphine
781,Sérieux hein
782,Comment faire pour souscrire à Orange bank
783,Où est OM Pay ?
784,Franchement
785,"Oui en 2023 pour souscrire à Orange bank, j'ai souffert jusqu'à un moment je voulais abandonner, mais aujourd'hui je suis fou d' Orange
.surtout quand je reçois +454"
786,Pufff depuis plus de 2 mois la connexion internet est nase
787,Wallah trop d’ex en complice ça me fatigue je fait comment avec le nouveau
788,"Orange Money
je voudrais augmenter mon plafond de dépôt"
789,C'est vrais hein
790,Je veux dépôt
791,Orange ci j’ai annulée un dépôt et depuis je ne vois rien dans mon compte
792,À quand la promo pour la suppression des numéros complices ?
793,Longue vie à toi
794,"Actuellement avec la nouvelle mise à jour de l’application impossible de fait une transaction
Orange Money"
795,Je suis couchée actuellement mais si j'ai reçu un message de+454 je vais me retrouver à l'instant même.
796,"+454 chou, mon calment, ma vie je t'adore trop"
797,On veut déposer gratuitement sans timbre d'état 100f et retirer gratuit sans payer les frais maintenant pour les envois pas de soucis c'est compréhensible
798,Même si t'ai malade du vois 454 guérison total
799,moi en tout cas ça me redonne la santé
800,"Dame Apea
si c'est pas +454 quel est le message qui te fait plaisir"
801,+454 les chiffres du bonheur
802,"Orange continue de nous voler.
Cette histoire de timbre là c'est foutaise même."
803,444 me plais aussi..
804,Moi +454 ou rien
805,Ça fait ting ting
806,+454 le meilleur sinon rien
807,"« Quand on dit il y a les tan tan tan »
Ivoirien lov you eeeh"
808,J'adore le +454
809,+454 Goat incontesté
810,Toujours+454
811,Que le +454 soit avec vous
812,Il n'y a que le +454 qui me donne la joie
813,A part +454 qui me plaît c'est encore+454 je ne sais pourquoi
814,Expliquez moi les 100f c'est pour Quoi
815,+454
816,C'est mon petit depuis le village
817,Votre affaire de 100f revoyez… on n’en à marre
818,Orange moi j'ai Orange moyen osi mes sr piké hé a kan mon tour
819,"Tchia
je viens de comprendre que c'est pas femme seulement qui aime le ""djê"",ah l'argent quand tu nous tiens on ne peut s'en défaire
. WEP tout le monde aime l'ahen
. +454 fait du bien à tous"
820,C'est le message le plus attendus du pays
821,"Quand je vois +454 comme message, mon cœur fait zouerrrrrrr"
822,+454 mon combat
823,"Orange Money
ramener nos 2GO à 500f on n'aime pas foutaise Hien"
824,"Cc
Orange Money
depuis un moment je vois plus les reçu de mes transactions sur application"
825,"+454 uniquement
ça peut réveiller quelqu'un du coma"
826,"Quand je vois sa seulement tchiaaaaa
ce jour là tout le monde mange bien dans la maison,+454 qui fait battre notre cœur"
827,Moi c’est wawe qui me rend heureux
828,+454 mon préféré et mardi bonus
829,+454 quand je reçois je content parce que j'ai reçu un dépôt
830,"Moi j'ai ma puce depuis 2009
Le 1 juillet était mon anniversaire j'ai rien reçu"
831,1312
832,"Ça dépend hein
. Quand tu es gbé , le +454 ne te dis pas grande chose. En revanche quand tu es piké et que tu vois ça net, c'est en ce moment que Dieu béni le seigneur"
833,"C'est doux hein mais ce n'est pas accessible à l'ivoirien moyen.....vendredi dernier j'ai Coco pour ma collègue, quand j'ai demandé le prix elle m'a dit 8000f je dis hannnnn spa à ce prix ci
. Mais c'est mal doux tchiaaaaaa"
834,Bonjour orange svp comment annuler un transfert d'argent quand on s'est trompé de numéro ?
835,On vous entent a Bouaké
836,"Marion Kanon
le meilleur"
837,Pensez aussi à venir sur bassam
838,657983697 c'est un anarqueur
839,Bravo chef
840,Félicitations et heureuse de savoir que le Big boss est mon frère à Entendre Me Gusto j’ai pensé à des étrangers
841,Tali Bita
842,"Sophie Kouassi
tu manges les bonnes choses cherie"
843,Orange Guinée voleur
844,"Bonjour Orange Money CI, je vous ai envoyé un message en privé concernant une arnaque grave subie via votre service depuis le Canada . Merci de bien vouloir consulter vos messages."
845,Bravo ! Plutôt j’aime ça ..
846,"Sidney Souanga
je suis fier du parcours"
847,Félicitations et courage a vous
848,"En tout cas c’est bien
doux"
849,Comment faire pour avoir ce bonus si le transfert passe pas depuis un certain temps????
850,Svp et pour le Niger
851,Merci
852,Bonne fête à tous les papas du monde
853,"MERCI
Orange Money
y. JE PENSAIT QUE LES PAPAS QUE NOUS SOMMES ALLAIENT RECEVOIR UN DÉPÔT"
854,Au moins un dépôt pour acheter poulet
855,Bonne fête
856,Bonne fête à vous aussi
857,Svp comment savoir que votre puce à été identifié ou pas
858,J’ai mon wifi qui est fini et je n’ai pas d’argent pour le réabonnement pouvez vous réglé mon abonnement à l’occasion de la fêtes des pères ??
859,Orange merci j'ai pas puce orange mais a partir de aujourd'hui j'achète puce orange
860,002250757972089
861,Excellent choix
862,Je vous les recommande
863,Ou j'ai fini de payer pour moi la c'est maintenant vous faites
864,Mais quand 9n pays nos impôts avec Orange Money vous nous prélèvez et le paiement ne passe pas. Vous ne nous ramener pas l'argent aussi et ça reste juste des promesses
865,"Vous m'avez coupé coupé 150 fr pour facture de 1200fr walaye ça brûlé mon cœur mais à cause du geste faite au papa hier lors de la fête des pères, je vous pardonne."
866,Je peut me lancé tout de suite?
867,C'est sécurisé?
868,"Nonis Gnepa
Ornella Ouonde
Magdala Akominù Souliatou
Fatima Coulibaly
Daa Niee
Guy Arnaud Montson
Samira Diabaté
Grâce Naomi Fieni
Abdoul Diéné
Il y’a Mouton gratuit hein
Vous dormez ?"
869,Un vrai Dohi
870,Orange c'est dohi
871,C'est de la discrimination des personnes qui ont déjà l'argent de mouton on gagne des moutons dieu vous voir
872,Félicitations !!!
873,Bravo à orange
874,Y’a pas dohi dedans ohh
875,Félicitations
876,Félicitations à eux et merci a vous
877,"Aujourd'hui es mon anniversaire
Dohi tala"
878,"Au moins les moutons on eu de la chance,de passer à la télé avant le drame."
879,"Orange, j'ai rechargé mon compte yango depuis hier a 19h17 mais mon compte n'a pas été crédité je fais réclamation et c'est sans suite"
880,Je sais les mêmes travail de orange ki gagne
881,félicitation
882,Avec Orange Dohi Tala !!
883,Sais dohi
884,La pub qui contraste avec la réalité
885,Sara là même c'est quoi
886,"Orange Money
C'est Jonathan dans les ""apprentis aventuriers "" sur M6. Il avait pour "" co-apprenti "" Joyce.
Donc, le mec est ivoirien ?"
887,C'est pour acheter le serpent
888,Jason Derulo de Koumassi.
889,"Je suis extrêmement déçue du service Orange Money. J’ai effectué par erreur un transfert d’argent et depuis, impossible d’annuler l’opération. Aucun numéro clair pour joindre le service client, aucune solution concrète, juste un historique qui ne sert à rien.
Comment est-il acceptable qu’un service aussi sensible que la gestion d’argent ne prévoie aucun recours simple pour les erreurs humaines ?
J’attends une réponse rapide et une prise en charge sérieuse de ma réclamation. Merci de me contacter en urgence."
890,"Objet : Plainte pour erreur de transfert Orange Money vers un numéro incorrect
Madame, Monsieur,
Je me permets de vous adresser la présente réclamation suite à une erreur survenue lors d’un transfert d’argent effectué via votre service Orange Money.
Détails de la transaction :
• Date et heure du transfert : [16/05/2025 à 17H 24]
• Montant transféré : [72.000 fcfa]
• Numéro de téléphone du destinataire erroné : [+221 7 76 77 77 08]
• Numéro de téléphone de l’émetteur : [0707817973]
Je sollicite votre intervention pour geler cette transaction et procéder au remboursement du montant transféré vers le numéro erroné. Je reste à votre disposition pour fournir toute information ou document supplémentaire nécessaire à la résolution de ce problème.
Je tiens à préciser qu'une réclamation au call center a été effectué le même jour mais jusque là est resté sans suite. Je vous exprime mon mécontentement et j'ose espérer que dans un bref délais une suite favorable me sera communiquée au risque de me voir rendre cette réclamation virale.
Dans l’attente de votre retour,
Cordialement,
MEITE ABDRAMANE
0707817973"
891,"MERCI, PAREILLEMENT À VOUS"
892,"Merci
Orange Money"
893,Bâton non non
894,Ils se demandent comment faire pour me digue ils trafiquent des plans et encore ils dorment et pendant ils sont couchés dort moi je suis toujours entrain de trafiqué mes plans.....
895,J étais a l université quand j étais au collège
896,Encore no1 j ai laipai j ai gor
897,Je garde ma puce orange pour toujours
898,Encaisse
899,Une fois
900,"verser les machettes les ultras. C'est Orange nous on kiff
Je viens d'acheter un Lambo Urus.. farotela (bow)
On signe plus contrat sans avocat oh... Arodela ( chetté)"
901,Demain je vais acheter une nouvelle puce Orange encore...
902,"<J’étais à l’université quand j’étais au collège >
<C moi je vais tomber la pluie donc pas la peine de se doucher>
Straaa straaa"
903,Il faut que je sorte un projet pour me détrôner moi même.
904,Aok je vais faire un dépôt
905,C’est moi qui fait tombé la pluie donc c’est pas la peine de se doucher
906,"Debalous sa, entré dévaliser,, avec atalaku sa, tu peux pas rivaliser (fort que fort
)"
907,"Le meilleur réseau
une fois"
908,On avait pas vu désolé orange on est tellement ignoré qu' on s attendait pas a ce qu un gros nom nous fasse un clin d' oeil.
909,S ils veulent commencer la guérilla on va employer la plus forte des manières
910,Mon réseaux
911,Mon compte est bloqué.
912,La fête des mères approche !
913,"Orange Bank CI
, Orange ci , meilleur des meilleurs"
914,J'adore les fleurs je peux maintenant m'offrir des fleurs avec Orange money en sécurité.
915,La dame est trop belle
916,"Orange Money CI, c'est Top!"
917,"Bonjour madame
Si 'nous avons une surprise à faire
Peut on avoir un contacte ?"
918,Les gérants des PDV exigent 100 f pour toutes opérations Orange money. C'est normal ???
919,Vraiment
920,Tu es problème Orange
921,Besoin d'abonnés svp les amis
922,Tu trouves le bon aussi on te fait payer les 100f
923,"Avoir une puce marchande orange money est vraiment très difficile. Depuis plus de six mois. Vos agents bloquent-ils les dossiers à leur guise ?
Que le CM
Orange Money
apporte mon message à la direction, on souffre beaucoup"
924,Sciencer on veut supprimer les numéros complices
925,Mdrrrr
926,"Les couples ou y’a pas OM dedans enlève ton pied
…
Avec OM c’est 0f de frais"
927,Sale comportement
928,"Walaye trop doux même avec +454 j'ai plus de stress plus de maladie je suis épanouie
jusqu'à j'ai honte"
929,"S'il n'a pas OM c'est que c'est pas le bon, c'est un coulé-liquidé.
OM c'est pour les kélépé 1 et non les prinprins."
930,"Orange Money
je veux mon argent svp, depuis ce matin je n'ai pas accès à mon coffre fort sur max it.
Pfff"
931,Tu es le problème mon fils
932,"Love comment même
Ne ns mettez pas dans blême hein"
933,Comment ils font et les passes coulent comme ça Tchié
934,L'adversaire partage l'argent ici vous vous faites poète Ok
935,Tiktak mon problème actuellement...
936,"Ce Monsieur impose aux gens de payer des surplus pour effectuer des retraits. Quand tu veux un retrait de 10.000 FCFA par exemple il demande de composée 10300 FCFA
Voici son code et nom.
ERNARD SARL 117214
Ce sont des gens à retirer du circuit
Allez à Mvan à Yaoundé, tous font ça. Il faut retirer ces gens sinon vous allez perdre gros"
937,"Orange Money
j'ai acheté une puce a l'agence je les fait identifié ils m'ont dit il avait un problème de réseau pour créé qu'après je devais faire le #144*71# pour ouvrir mon compte mais depuis rien ne passe ça fait presque 1 mois maintenant c'est dû a quoi?"
938,"Bonjour je vous ai laissé un message inbox, j’ai besoin que vous traiter ma requête svp ! Merci"
939,"Ste Christy
de parler ?"
940,"Bonjour orange Côté d’ivoire ! J’ai un souci avec mon coffre fort bloqué de Max it! Je n’arrive pas à y accéder, on me mer erreur, je ne peux même plus y déposer de l’argent ! J’ai appelé le service client, on m’a dit que la demande sera traitée sous 48h depuis rien ! Svp veuillez régler mon problème, j’ai de l’argent dessus, pfff…."
941,Arrêtez de voler les gens ...
942,Facile
943,On a compris mais quand on veut aller retirer aussi ya manque pae on doit payer frais
944,"Anaki Serge
il ne paye jamais les frais tu es problème même"
945,Votre application ou on vo?le l'argent des gens là tchrrrr
946,"Vous même on souscrit passe internet ça finit vite et puis vous pensez que vous êtes les bons ???
vous faites les faux wé meme"
947,"Toi CM là, t’aime amusement façon,
Nos passes million qui finissent vite là, tu n’en parles pas hein"
948,Je te dis
949,"bonjour
Orange
, impossible d'avoir accès à mon coffre depuis l'application Max It, comment puis-je remédier à cela?"
950,Moi même je vous attends au tournant OM
951,"C’est un gaou
."
952,"Bonjour j’ai une question ?
Pour effectuer une transaction orange de la Côte d’Ivoire à la Côte d’Ivoire
Il faut obligatoirement la application orange money ou non merci et bonne journée"
953,Tu paies ton crédit pour avoir un autre prêt c'est difficile pfffffffff
954,Lollllllll
955,"Orange Money a des soucis sur son coffre fort depuis 72h l'argent des clients est bloqué, impossible de retirer."
956,Le coffre fort a quel soucis on peut pas accéder
957,Ehhhh orange pardonnez mon argent j’ai mis dans coffre fort la date est arrivée pour récupérer mon argent c’est dans procedure je trouve pas aider moi ohhhhh
958,Pendant qu'on rigole moi j'ai envoyé mon CV par erreur à la WWE ; ils m'ont programmé lundi contre JOHN CENA
959,Dieux merci canal boix va nous donner envie de conexte tout le temps 500frs par semaine 24#24 merci beaucoup je mafou de 1go oubien 2go par semaine
960,"Chercher à créer, vous aimez trop copié les autres.
Merci et prenez soin de vous."
961,Timbre de 100F qu'on paye au-delà d'un transfert de 5000F a été supprimé ?
962,Orange Money veux nous voler maintenant quoi
963,Ont reçoit 5450 vous avez oublié les frais de timbre qui s’appliquent pour les dépôt supérieur à 5000
964,Ce qui veut dire que orange a annulé les frais de transfert
965,C'est dohi mtn est le meilleur
966,"10H
BK=
56
SBK=
20
TURBO2=56-20-32 TURBO3=32-40 TURBO4=40-76 TOWSU2=76-21 PERME=56-20-32-40-76-21 BONNE CHANCE"
967,Bonsoir moi je veux savoir pourquoi quand on va faire un dépôt ou retrait on paye 100f aux marchands ??
968,"S'il vous plaît expliquez les frais de timbre 100f aux clients aussi car ça nous fatigue nous les pdv car d'autres même nous traitent de voleur car pour 5000f nous savons que les frais de retrait c'est 50f c'est à dire 1% mais pour un client qui veut forcément payer les frais pour son récepteur il doit payer 5150f sinon 5050f envoyé le client reçois 4950f
S'il vous plaît aidez-nous"
969,5050
970,C'est dohi vrai dohi
971,Hamed tu es de venir vidéo manne
972,Vous recevrez la même somme c'est à dire 5550 f parce que les transferts en OM sont gratuits
973,"Orange je suis pas content de vous celà fait pratiquement 3 semaines j'ai fait une demande de réclamation que vous m'avez prélevé deux fois sur mon compte et jusque là pas de remboursement.
Svp je veux mon l'argent."
974,Orange Money revoyez votre question…
975,"Du compte personnel à un autre compte les frais de timbres 100f ne s’applique pas
Les frais de timbres 100f s’applique lorsque vous partez dans un point de vente et est en pratique lorsque l’opération est au delà de 5000f"
976,C’est faux
977,Aaaah c'est dohi
978,4950
979,Votre maxit qui ne marche jamais.
980,"C'est 5450, timbre 100f et après tu reçois les bonus mn,sms et pass internet"
981,"Vous dites depôt et différent de transfert d’argent.
Les frais de timbre sont appliqués pour les dépôts supérieurs à 5000frs.
Mais au niveau du transfert d’argent il n’y a pas frais de timbres."
982,Samasoko aah vieux tu vaurien trop comment même 5040
983,-100=5450
984,5450
985,https://chat.whatsapp.com/IJFZhiZRtc4888GS7aVGE4
986,"Je reçois 5550 parce que les transferts de compte
Orange Money
à un autre compte Orange Money est totalement gratuit merci à #OrangeMoneyCI"
987,Amen je recois au nom De Jesus Christ
988,salut petit
989,Je reçois 5550
990,100 de timbre et 50 de frais les 1/100
991,5450 bien sur si c'est dans une agence mais de compte à compte tu reçois forcément la somme reçu qui est 5550
992,Et c'est quoi cette coupure de 54frs à tous les transferts même si c'est 100frs vous coupez toujours
993,"Moi je suis chez moïse hein
Je me demande dans quel coup je tombe sur cette vidéo"
994,Si il a 5k en jeu ils vont tt dire
995,"Vole
Vole
Vole
Orange nous vole"
996,"Façon je suis galère là je vous cherche des
Orange Money"
997,5455
998,J'ai rien reçu
999,Je veu jouer en ligne
1000,5400 parce qu'il y'a frais de timbre 100f puis 50 f pour les frais de 5000f
1001,"Je voudrais savoir quand vous attribuez une puce orange à une autre personne alors qu’il y’a de l’argent sur le compte orange de l’ancien propriétaire, on réclame l’argent à qui ? Au nouveau propriétaire ou à Orange money. Mon fils fait face à une injustice de la part de Orange Côte d’Ivoire et je suis vraiment révoltée."
1002,Je dis la seconde question doit etre posé
1003,Normalement 5450 car les timbre de 100 FCFA s'applique
1004,Trouver une solution concrète pour diminuer l'argent de connexion L'AES prépare une réseau
1005,Si c'est contre personnel à l'autre contre 5550 et si c'est dans un point orange money c'est 5450
1006,Donc le responsable d' orange même connais pas sinon c'est 5450 f cas il as oublié 100f du timbre de l'état
1007,Je reçois 5495
1008,Vous là quand vous posé les questions concernant l'argent là svp faites un tour dans nos services haaaa
1009,Les 100 f du timbre pour les les transactions de plus de 5000?
1010,"Je parle pour mon village
Il y a un gar chaque fois que tu fais des transactions chez lui il te coupe 100f qui n'a rien à voir avec ni les frais ni le timbre.
Hin hin
J'oubliais on me charge de vous dire que pourquoi on ne peut plus avoir les 2,5G a 500."
1011,Y'a problème par la voie d'orange on mange dans notre argent soit disent timbre tu 10 fois dépôt par jour on te coupe 10 fois pour quoi ?
1012,Je reçois 5450
1013,"Question pas bien posée !
Tu fais un dépôt 5550f d'un point de vente orange, je reçois 5450f ! Mais de ton compte orange money, tu me transfères 5550f, je reçois le même montant !
Soyez précis
Orange
, car vous pouvez créer des histoires entre les caissièr(e)s et leurs clients avec cette pub là !"
1014,J'aime votre réseau mais je ne suis pas du tout contente de vous. Depuis quelques mois j'ai identifié ma puce comme vous me l'aviez demandé mais jusqu'à présent quand je passe mes appels il faut obligatoirement que j'entende: cher client mettez à jour.... J'ai appelé plusieurs fois je me suis même déplacer pour aller au siège mais 0 résultats si ça continue je risque bien de lasser prise votre réseau
1015,Tu reçois 5550
1016,Tu reçois 5500
1017,Venez à yop maintenant
1018,"C'est faut
Orange Money
dès que l'argent dépasse 5000 il y a timbre 100g ou bien vous avez arrêté ça"
1019,"Copier bien, cette plateforme qui ne marche jamais surtout quand tu en as besoin"
1020,"Ce n’est pas normal . Normalement c’est 5450 vu qu’il y a 100fr de timbre que orange va couper .
Ou bien 100fr de timbre c’est entre nous ici ?
On sait tous qu’au delà de plus de 5000fr, il y a 100fr de timbre non"
1021,"En tout cas en matière de transaction
Moov Africa CI
est meilleur en Côte d'Ivoire
."
1022,5495 ..si on enlève timbres 100 f tu reçois 5395f
1023,Svp venez à Sinfra aussi je bien voir dans affaires là
1024,Orange Money bjr avant je prenais les 10mil f sur orange bank pour me défendre maintenant je peux plus prendre quesqui se passe
1025,Moi j'ai fait un dépôt de 10 milles sur mon compte et j'ai reçu 9900 donc je ne comprends pas.
1026,"Orange Money
dîtes plutôt un transfert sinon si c’est dépôt là les timbres de 100f s’applique du coup 5550 on reçoit 5450 et non 5550 merci"
1027,La question est très Mal posé ya une différence entre un dépôt et un transfert un c'est dépôt dans un point de vente (pdv) alors un transfert c'est a déjà de l'argent sur son compte OM puis envoi directement a une tierce personne. Vu la question c'est un dépôt or tout dépôt supérieur a 5000 automatiquement les frais de timbre s'applique
1028,Orange Money tu a dis dépôt et non transfert DC ces faux
1029,En tt cas les 5000 n’ont qu’à arriver c’est le plus important
1030,Oui au delà de 6000 on retire l'argent de timbre
1031,"Ont dire merci beaucoup à wawe sinon c'était fini pour nous, ils allaient bien nous volé. Ko orange Money est le meilleur réseau tchrrrr même"
1032,"je suis pas d'accord pour la réponse, vous avez Dépôt et non transfert d argent et timbre 100f c'est plus valable"
1033,"5395,5"
1034,Je reçois 4950
1035,5400
1036,Commentaire supprimer
1037,"Si c'est un dépôt de 5.550f le destinataire recevra 5.450f, car il sera facturé 100f taxe de timbre. Si c'est un transfert de 5.550f, le destinataire recevra bel et bien 5.550f, car il n'y a pas de taxe de timbre en ce qui concerne les transferts."
1038,C’est mm 5550 tu vas recevoir
1039,Tchai essayer a adzope aussi
1040,5495
1041,Mais l’histoire de tu dépose ton argent et tu paye les frais là c’est comment maintenant c’est toujours même choses ou bien vous avez changé ?
1042,ORANGE.CI
1043,"Orange Money
y, svp les résultats de la chasse au trésor sont pour quand ?"
1044,Koundé
1045,Musique
1046,Les résultats des jeux restent inconnus.
1047,"100f qu'ils prennent avec nous à chaque fois lorsqu'on fait dépôt, retrait et transfert là ne gérez pas çà hein ko : Chasse au trésor,mes oreilles wai
."
1048,Le score
1049,J’ai compris
1050,Le mot caché est Zikplay
1051,"Orange Money
résultat n’est jamais sorti hein"
1052,"Admin Orang Money, résultats de jeu là c'est comment??? Ou bien d'aller boire l'eau"
1053,"Orange Money
pourquoi je n'arrive pas à y participer ?"
1054,Maxit aussi depuis la dernière mise a jour ya bugg
1055,26 au 27 mars? Orange Money date erronée
1056,Télécharger la super app Orange Max it Côte d'Ivoire | Orange Côte d’Ivoire
1057,Expliquez... Ou bien
1058,Premier commentaire
1059,Pourquoi vous ne publiez pas la réponse de la chasse !?
1060,"Merci beaucoup
Orange Money
mon cadeau d'anniversaire
longue vie à Orange ci"
1061,"Hello la famille !
Pour participer à la chasse au trésor, ouvrez simplement Max it : https://dub.link/Maxit-CAT
Dès la page d’accueil, vous verrez un visuel spécial pour la chasse au trésor : il suffit de cliquer dessus et de suivre les instructions !
Bonne chance à tous"
1062,"En gang
1x"
1063,En tout cas la maman a du caractère
1064,J'ai déjà mangé chez elle ... bonne nourriture en tout cas je dépose tata alice
1065,"C'est très cher mais ça vaut le coût, et c'est vraiment bon"
1066,"Ma soeur Bibi!! Bonne continuation,,!!!"
1067,Vall Tokpa
1068,Poisson 27k Fhum
1069,"Michel Kouamé
c'est cala tu as vu?"
1070,"Himra
Meilleur rappeur du monde
Longue vie à nous
Himra"
1071,"Cette tantie la es compliqué façon ,toujours nerveuse"
1072,Tous au stade le 03 mai pour le concert de Didi b
1073,"Ma tata Brigiette
en chez Alice cest ma maison"
1074,Numéro WhatsApp
1075,Orange money est le meilleur réseau
1076,"Ahaah arretez de dire ce que vous pensez etre vrai . Es - ce que vous connaissez la douleur d' une entreprise de tout ce qui est preparation ? Quand vous partez dans les chawamard même si on vous reçoit mal , et mėme aussi chère , jamais de plaintes . Il y a les depense de chaque jour , les employés , le locale , ..tout ça à gerer ; et vous trouvez qu' elle est chère et compliquée . Et si tu etais à sa place ???"
1077,"La 1ère fois que j'y ai mis le pied hunnnnmmm
j'ai compris ce qu'on appelle le PRIVILÈGE
j'adore ce coin mais il va falloir revoir l'aspect de l'espace car c'est un coin de la high class."
1078,"J'y suis déjà allée mais pas dans mon argent hein, c'est mal cher.
J'ai pas l'argent de ça"
1079,1
1080,"1
tjrs"
1081,.
1082,Toujours nerveuse aussi la tantinnnne
1083,Je connais pour la commune de marcory quartier charbon
1084,Le plat est doux et bien fait franchement tu ne regrette pas
1085,Moi
1086,Attieke 99 millions
1087,Appellé renforts c’est même chose
1088,"Alamanko Koné
votre poisson pas doux la voilà ça"
1089,Poisson 1 million
1090,"Nick Charmand Mel
c’est une affaire de famille"
1091,Less commentaires me font trop rire.. elle est nerveuse mais vous êtes toujours la bas.. sûrement vous aimez son côté nerveux
1092,Une dame bien gentille qui reçoit agréablement
1093,La référence
