Unnamed: 0,comments,Service
1703,Pas contre mon mois de janvier était top,Orange Money
1704,"Il n'y a pas état comateux ?? C'est là-bas que je suis
.",Orange Money
1705,"Y'a pas couleur noire là-bas
?",Orange Money
1706,25% galère faible wallaye,Orange Money
1707,J'ai atteinte les 75% hein,Orange Money
1708,Mon état est très critique wallay,Orange Money
1709,Svp après état critique là ya quoi,Orange Money
1710,Y a pas 115% dedans quoi?,Orange Money
1711,"75%
est-ce que je vais m'en sortir même",Orange Money
1712,État critique,Orange Money
1713,Rouge,Orange Money
1714,25 % je sans rien,Orange Money
1715,"La liste n'est pas exhaustive, je ne retrouve pas pour moi",Orange Money
1716,Il n'y a pas état mor.tel?,Orange Money
1717,"200% État très très Critique
Je sent que je vais bientôt m’en aller",Orange Money
1718,Etat critique besoin d'une ambulance,Orange Money
1719,100% état critique,Orange Money
1720,Pour moi là même c'est l'enterrement oooh,Orange Money
1721,Galère faible Dieu a fait Grâce même dans ce mois,Orange Money
1722,Après État critique y’a quoi svp. Je veux vérifier kelke choz,Orange Money
1723,Actuellement moi je suis a l état critique.,Orange Money
1724,Etat très critique il y a pas ma couleur dedans.,Orange Money
1725,Moi même c'est référence même. On m'a référé depuiisssss,Orange Money
1726,"Moi j'ai dépassé étape critique là, je suis à l'étape ni Allah sonna",Orange Money
1727,À part 200% mettez dans 454 aussi tchai,Orange Money
1728,"Moi j'ai pas connu cette épidémie de janviose.
Merci Seigneur",Orange Money
1729,Il n'y a pas pour évanouissement pffffff,Orange Money
1730,"C'est même Quoi ça même
je vous",Orange Money
1731,"Pour moi la on dirait c’est mardi bonus hein
Ouais 200% de bonus même",Orange Money
1732,Moi c'est à 86%,Orange Money
1733,Galère critique,Orange Money
1734,"Je retiens le +454 sur l'image
Patrick Wilfried N'Gatta
oubien",Orange Money
1735,Après 100% y'a plus autre encore ?,Orange Money
1736,"Je suis derrière le rouge, je crois bien 150%
. Je dois même ehhh pardonner laisser mon crédit là",Orange Money
1737,75% Dieu gère,Orange Money
1738,Svp 1000000% c'est quoi?!,Orange Money
1739,état très critique,Orange Money
1740,Quand je regarde dans tout çala ya pas pour moi dedans par ce que moi mon cas là m'inquiète,Orange Money
1741,Aujourd'hui le 28 là état critique c'est moi,Orange Money
1742,Y a pas thermomètre de bœuf là-bas ??? Je tiens plus,Orange Money
1743,État sévèrement critique forte possibilité d’un comas,Orange Money
1744,Pour moi est 87% comme pour tam sir là,Orange Money
1745,etat critique,Orange Money
1746,1000%: Sérieusement atteint,Orange Money
1747,Y’a pas 150% là-bas ?,Orange Money
1748,orange même a tout gâter,Orange Money
1749,Il n'y a pas noir après le rouge là par hasard ??,Orange Money
1750,Je sais plus où me mettre offerte...mon état ne figure pas sur le thermomètre,Orange Money
1751,"Après état critique là ce qui vient là c'est mon cas tchiaaa
!!!",Orange Money
1752,Genre pour moi n'ai pas afficher sur ça hein,Orange Money
1753,Était critique,Orange Money
1754,Je ne vois pas pour moi dedans inh,Orange Money
1755,Votre affaire de coffre fort 1 mois là vraiment ressayer de voir ça hein,Orange Money
1756,Comment envoyer de l'argent vers la Guinée Conakry via orange money,Orange Money
1757,"Moi c'est fais des Anne que je faire des transactions avec Orange Money oui je dis bien des Années et pour un prêt que je veux a Orange Banque
en me parle de ke ne c'est quoi le profil n'ai pas gnin gnin gnin",Orange Money
1758,Je n’arrive pas à créer mon compte orange money,Orange Money
1759,Avec orange Money on règle problème au village,Orange Money
1760,Maintenant les 100f on prend la c’est pour quoi au juste expliquer nous parce que nous on comprend pas,Orange Money
1761,Je t'aime ma maman cherie,Orange Money
1762,"Vazoumana Bamba
mon boss",Orange Money
1763,Svp comment sa se passe pour le l'épargne OM,Orange Money
1764,Comment obtenir vos APIs ?,Orange Money
1765,Maintenant Orangina qu'il a donner la à koi avoir avec la publicité,Orange Money
1766,"Hassane Kone
début de la vidéo la rappelle moi c’est le son de qui stp je sais que c’est youssoupha mais avec qui là je sais pas",Orange Money
1767,"Nourdine Timite
djaaa on a une star à nos côtés",Orange Money
1768,Orange money souvent les commissions ne viennent pas,Orange Money
1769,Vraiment merci crédit avc sans pression,Orange Money
1770,Qui a reconnu la voix de Kévin obin dans la narration ?,Orange Money
1771,C’est la janviose actu,Orange Money
1772,Fofana Abou,Orange Money
1773,"Bonjour
Mam Camara
, courage plus que 7 jours. Sinon y'a Tik Tak hein",Orange Money
1774,Ha donc c'est bien une stratégie des banques et des opérateurs financiers de ne mettre en circulation que des grosses coupures aux déends des pièces et des billets. Pour pouvoir gratter sa part sur chaque transaction comme le plus vile usurier biblique.,Orange Money
1775,"""Tu vas chercher monnaie jusqu'en Janvier ""
Orange Money",Orange Money
1776,"C'est ça hein, payons avec OM c'est plus simple et sans problème.",Orange Money
1777,"... Faut les laisser on vas les associés ils vont comprendre.
Orange Money",Orange Money
1778,Cm tu cri sur eux fort hein,Orange Money
1779,"Orange Money
bjr à vous j ai besoin du lien pour télécharger l application OM merci",Orange Money
1780,"Moi même autre fois j'ai cherché monnaies du grand marché d'adjamé jusqu'à port bouét. heureusement que j'ai eu la solution avec
Orange Money",Orange Money
1781,Forcément,Orange Money
1782,Je n'arrive pas à configurer l'application Max it,Orange Money
1783,"En tout cas moi j’ai jouer et je compte gagner
Orange
avec le goat des réseaux y’a pas poto",Orange Money
1784,"Orange
mais les pass suprise ne passe pas pourtant vous envoyer les messages ahhii",Orange Money
1785,Heuu c'est moi seul ? Ma puce orange ne passe plus,Orange Money
1786,"Marius M'bra
DJhon Marc Marvel",Orange Money
1787,Ou sont les résultats des jeux passés ?,Orange Money
1788,J'ai l'application mais comment faire pour jouer,Orange Money
1789,"Franchement expliquez bien ce jeu sur Max it.
Malgré les indices je ne vois toujours pas.
Un exemple pourait aider plusieurs comme moi.",Orange Money
1790,"Je dis oh orange, pourquoi vous démagnétisez les puces sans avertissement ?
Vous nous faîtes perdre de l'argent en faisant ainsi... Pourquoi cette mauvaise manière ?",Orange Money
1791,Orange vous avez quel soucis un coup comme ça ma puce affiche aucun service aïe,Orange Money
1792,L'application ne fonctionne pas chez moi,Orange Money
1793,C'est pas cadeau de fin d'année qui est là là,Orange Money
1794,"Orange
j’ai reçu ces messages depuis avant hier et j’arrive toujours pas à souscrire car lorsque je fais la syntaxe on me dit aucun pass disponible",Orange Money
1795,Ont voir jamais les résultats de vos jeux,Orange Money
1796,Frankadiva Ouattara,Orange Money
1797,Seul les durs s’en sortiront,Orange Money
1798,"Orange
comment faire le numéro complice ??",Orange Money
1799,"J’ai payé ma depuis le samedi passé, de vous demander pardon avant que vous ne veniez l’installer ?",Orange Money
1800,On ne voit jamais le gagnant,Orange Money
1801,Comment on joue ?,Orange Money
1802,Nguessan Erika,Orange Money
1803,C’est pas du jeu inh ! Mais on est dedans !!!,Orange Money
1804,"Félicitations à nos gagnants !
YOUNGA YACOUBA
ABI GOSSI DORCAS EPSE YANKEY GUINDO HUSSEN HUGUES JUNIOR SANOGO LADJI MAMADOU
YAO NISSI ARIELLE FRANCESCA
AHOUA GUIRO EPOUSE KEITA
SANE MOUSSA
ZAHUI JEAN YVES STEPHANE
BANE MOHAMED LAMINE
DIGBEU KOUELI BI SERY ANGE",Orange Money
1805,"Orange vole date des gens
Ils viennent de mettre nouvelle règle soit disant que tu renouvelle pas des data avant 3 jours il coupe au lieux de une semaine pour les autre service.
D’après il commence sa début janvier",Orange Money
1806,C’est frappe hors,Orange Money
1807,Comment on fait pour gagner ?,Orange Money
1808,C'est Dôhi,Orange Money
1809,Boukary n'es jamais consentrer,Orange Money
1810,les gagnants sont les même travailleurs,Orange Money
1811,"C’est mise en scène
depuis y’avait 10 ans le premier numéro a été toujours orange jusqu’aujourd’hui même bic d’orange j’ai jamais reçu j’ai toujours fait les paiements orange mais rien",Orange Money
1812,C'est dohi. Depuis on fait payement retrait et tout la. On n'a jamais été bipé par Orange,Orange Money
1813,heeeee on souffre hooo,Orange Money
1814,"Pour avoir une puce marchand on doit maître dès mois
Orange Money",Orange Money
1815,Du n’importe quoi vous prenez vos parents pour leurs offrir des kd2 des bêtises je fais la plus part de mes payements avec OM mais jamais j’ai été récompensé,Orange Money
1816,"Orange Money
les esim d’orange sont disponibles dans vos agence ???",Orange Money
1817,Ok pour l'information,Orange Money
1818,On donne les 2gigas à chaque fois qu'on paye les factures,Orange Money
1819,"Comment se passe pour le payement des clients CIE prépayée ?
Je n'arrive pas a payer sur Max it",Orange Money
1820,Svp j'ai rechargé mon compte cie et j'ai supprimé le message sans le savoir comment faire pour le récupérer,Orange Money
1821,"Super,mais dite au gérant d'orange Money d'arrêter de prendre toujours les 100f, lorsqu'on va faire un dépôt sur Yamoussoukro.",Orange Money
1822,Et facture prépayé cie on va bénéficier du bonus aussi,Orange Money
1823,S'il vous plaît je peux recevoir de l'argent de l'Algérie par orange money ?,Orange Money
1824,"Donc la fibre optique n'est pas concernée ? Vous voyez votre vie, négliger vos produit au profit des autres. 0 système marketing",Orange Money
1825,Moi j’ai rechargé mon Easybox j’ai pas reçu de bonus,Orange Money
1826,"j'ai fait paiement d facture aujourd'hui je n'ai rien eu ,comment ça s'explique??",Orange Money
1827,Valable combien de jours,Orange Money
1828,Meilleur réseau de téléphonie mobile,Orange Money
1829,Ça a commencé quand?,Orange Money
1830,Les 5 % s’applique à quel paiement sinon j’ai fais plein de paiement ou j’ai rien reçu,Orange Money
1831,Orange toujours,Orange Money
1832,Les vtc son éligible ?,Orange Money
1833,Bonjour depuis une semaine mon application Max it ne fonctionne je n’arrive pas à accéder dedans,Orange Money
1834,"Depuis le 16 décembre, ma connexion fibre est coupée malgré le renouvellement de mon abonnement. Service client injoignable, et aucune intervention après ma réclamation en agence. C’est inadmissible ! Je demande le rétablissement immédiat et un dédommagement.",Orange Money
1835,J’ai fais des achats j’ai pas reçu les 5 %,Orange Money
1836,1 ROI DU MONDE,Orange Money
1837,"Orange aujourd’hui
Orange demain
Orange toujours
Orange Les meilleurs",Orange Money
1838,Bonsoir mon ami orange c'est COOL,Orange Money
1839,https://youtu.be/kXb-KPXPab4?si=yFrtKQjGS8UHDKSV,Orange Money
1840,Roro Levi,Orange Money
1841,Les meilleurs,Orange Money
1842,On attends les 5% de remboursement sur les courses vtc car c’est décembre et on bouge beaucoup,Orange Money
1843,C'est pas mieux vous allez payer en même temps,Orange Money
1844,Wave merci grâce à toi,Orange Money
1845,Bonne fête à tous avec ORANGE Money,Orange Money
1846,On ne voit jamais les gagnants,Orange Money
1847,"Orange , pourquoi votre service clientèle ne passe jamais ! Revoyez ce côté là svp! J’ai fini de payer mon crédit sur mon compte principal, mais je suis tjrs débite lorsque je fais des transferts !",Orange Money
1848,Vous la ça tombe bien je vous cherchais je n'ai pas pris de crédit sur ma puce orange qui est une puce flotte je fais transfert 500 vous me retirez 400 Que gningnin de SOS crédit c'est bien en tout cas puce la va rester comme ça parce que si c'est pas vos 2500 de transfert de fin du mois la la moi je vais plus jahin faire transfert encore,Orange Money
1849,"Bonjour Orange ça fait bientôt 2 mois que vos commerciaux m’ont harcelé pour que je prenne la fibre , depuis rien , j’ai payé personne ne vient installer
C’est vraiment dommage",Orange Money
1850,C'est fait,Orange Money
1851,S’il vous plaît vous avez Samsung galaxie A15 dans votre boutique ?,Orange Money
1852,À quand les résultats ?,Orange Money
1853,Fait,Orange Money
1854,"Orange
j'ai un soucis svp.
Repondez moi en inbox",Orange Money
1855,C'est illimité le réabonnement coût combien par mois aussi,Orange Money
1856,"Orange, donnez mon argent si vous plaît.",Orange Money
1857,Indice,Orange Money
1858,"Comment on joue,je ne comprends pas",Orange Money
1859,Cette fois sera la bonne,Orange Money
1860,"Orange Money
votre fibre ne fonctionne plus correctement ??? Je suis fatiguée hein
Si jusqu'en janvier 2025 ça continue
Je vais aller chez mes autres
Franchement c'est abusé",Orange Money
1861,"Depuis trois jours je joue seulement,je vois rien Oubien c’est entre vous la bas???",Orange Money
1862,"Orange Money
les résultats sortent quand s'il vous plaît ?",Orange Money
1863,"Bonjour m/Mme, Etant un client fidèle d'orange je tiens à vous exprimer ma déception profonde par vos services internet fibre.
Je suis abonné depuis bientôt 1 an à la fibre optique orange. Je payais régulièrement mes factures malgré les problèmes de connexion. depuis 2 semaines environ, j'ai été suspendu sans raison pourtant je suis à jour dans le règlement de facture.
J'ai soumis ce problème à l'agence, ils ont reconnu le problème et prit ma réclamation en compte en me rassurant qu'on allait résoudre le problème dans 48h maximum. Voilà maintenant 12 jours que j'ai ce problème et rien n'a été fait encore jusqu'ici. Le service client orange me sort un baratin comme quoi c'est une anomalie du serveur et que des techniciens sont entrain de résoudre.
Je passe par cette plate-forme pour informer que je m'apprête à exposer les fait sur les réseaux sociaux si rien n'est fait jusqu'içi.",Orange Money
1864,Le service Orange client ou technique est nul pour un retrait de puce je à mon près d'un mois de faut revenir demain,Orange Money
1865,Jeux la aussi on joue toujours mais pas de résultat,Orange Money
1866,"Félicitations à nos gagnants !
BONZOU BADUA NANCY MARYSE
KOFFI JACQUES EVELYNE AMOIN
COULIBALY YELLI AUDREY
DIAW KEWEADAMNAIMA
DAGNOGO ADAMA
OUATTARA ZODJE DRAMANE
KOUASSI KAN SIDNEY
KOUYATE ZIE VALY
N'GUESSAN KOUAKOU CESAR
ACHIEDOH EPOUSE YAVO
CHIASTE FLORENCE",Orange Money
1867,Je penses qu'il faut permettre au participants de savoir ou du moins de connaître les gagnants ou non pour une question de clarté dans le jeu,Orange Money
1868,Moi j’ai gagné enfin !,Orange Money
1869,"Orange Money
y, bonne année à vous mais je n'ai toujours pas reçu la récompense de la chasse au trésor, faites quelque chose svp",Orange Money
1870,Bonjour votre box orange coût combien,Orange Money
1871,"Orange Money
je n’arrive pas à ouvrir mon appli max it depuis la mise à jour",Orange Money
1872,Jeu validé,Orange Money
1873,Indice ??,Orange Money
1874,On voit jamais vos résultats ?,Orange Money
1875,Comment on fait pour souscrire pass appel Afrique (mali Burkina...),Orange Money
1876,Quant est ce que les nous pourrons connaître les gagnants,Orange Money
1877,C7 combien,Orange Money
1878,"Comment faire pour activer votre prochain qui est en voyage.. pour les appels si quelqu'un cause avec lui toi aussi tu dois être en ligne avec que , mais qu'il ne c'est pas.",Orange Money
1879,Le résultat sort a quelle heure,Orange Money
1880,Où sont gagnant,Orange Money
1881,"Lorsqu'on recharge compteur sans le code vous ne dites rien mais c'est encouragé a utilisé votre réseau,",Orange Money
1882,Remboursez l’argent des gens hien. C’est quoi tout ça là ?,Orange Money
1883,Ayew a commencer très très très jeune cdm u17 avec Ghana c’était un talent genrationnel sa carrière même reflète pas ce qu’on attendait réellement de lui,Orange Money
1884,Franchement moi je ne me rappelle même plus de la dernière fois où j'ai payé facture avec orange money. KO payé et puis on vas rembourser. Pourquoi ne pas faire en même temps gratuit comme le Pingouin,Orange Money
1885,"Stringer Bell
voici ce que je disais depuis hier",Orange Money
1886,"Moi j'ai reçu les codes(2 paiements)
Quand je renseigne on mets code refusé",Orange Money
1887,Dame Alida Marina,Orange Money
1888,J'ai recharger mon compteur jusqu'à aujourd'hui rien,Orange Money
1889,"Orange Money
j'attends mes 10000f",Orange Money
1890,Tchai nous on a pas encore reçu pour nous,Orange Money
1891,J’ai reçu mn code de rechargement merci,Orange Money
1892,"Donc c'était vous ?
Alexandra N'dri",Orange Money
1893,C'est bien,Orange Money
1894,Le jour de mon anniversaire orange m'a donné 1GO et minute d'appel gratuit wallaye si au quartier quelq'un parle mal de vous je vais mal le taper,Orange Money
1895,"Irié Bi Franck
djaaaa c’est orange",Orange Money
1896,Merci quand même pour les 03 coffres sur OM,Orange Money
1897,Ok maintenant nous qui avons rechargé nos compteur depuis le jeudi 21 novembre et qu'on n'a pas encore reçu le code on fait comment ???,Orange Money
1898,J’ai rien encore reçu,Orange Money
1899,"Pour moi c'est canal+ abonnement, j'ai pas encore reçu mon argent",Orange Money
1900,"Naomi Gomez
Kouame Emmanuella Marie",Orange Money
1901,Aah je vois... J'ai reçu 2000f ce matin,Orange Money
1902,Moi c'est canal plus 10000f et je n'ai rien reçu encore,Orange Money
1903,Mon cher 100 fr c'est l'argent,Orange Money
1904,Depuis l’année dernière moi je suis toujours en attente hein,Orange Money
1905,Zooooo,Orange Money
1906,"J'ai mes ,5000 f l'ABA",Orange Money
1907,Remboursement simple sans dédommagement pour tous les préjudices causés.,Orange Money
1908,Donc c'est vous,Orange Money
1909,J'espère recevoir pour moi,Orange Money
1910,Nul,Orange Money
1911,"Orange Money
j'ai effectué un transaction orange money à l'international depuis le 18 novembre le destinataire n'a pas reçu le transfert et j'ai pas mon argent aussi",Orange Money
1912,"Épiphanie Adjoua Koffi
ils nous ont eu",Orange Money
1913,Mais pourquoi communiquer tard comme ça,Orange Money
1914,"J'ai eu peur hien la dernière fois j'ai reçu 50f
le pays est menacé",Orange Money
1915,"Bien reçu.
Orange Money",Orange Money
1916,"Aya Jany N'guessan
Tu as bien fait",Orange Money
1917,Je savais que c’était louche,Orange Money
1918,Marcelle Sahouein,Orange Money
1919,Supprimer les frais de payement en même temps,Orange Money
1920,"Ah donc c'est OM, merçi pour tout",Orange Money
1921,"J’ai reçu mon code de rechargement, merci",Orange Money
1922,#OrangeMoney remboursé l’argent des gens.,Orange Money
1923,Les dépôts de 200f 100f là c'est orange ?,Orange Money
1924,J’ai pas encore vu pour moi en tout cas,Orange Money
1925,"Han j'ai reçu dépôt 200F, c'était vous ?",Orange Money
1926,"+454
Je me demandais comment les pirates arrivaient à se faire passer pour le service client.",Orange Money
1927,Faite vite ooh,Orange Money
1928,"Moi j'ai pas encore reçu mes data de la souscription depuis le mois dernier franchement ces du vol après tant de réclamation ces décevant de la part d'une grande boîte comme
Orange",Orange Money
1929,Pas de problème,Orange Money
1930,La concurrence est une bonne chose,Orange Money
1931,Ok merci,Orange Money
1932,j'attends pour moi hein,Orange Money
1933,Dja c'était vous,Orange Money
1934,Djaaaa c est vs qui m avez fait dépôt la manciii,Orange Money
1935,j'ai reçu pour moi,Orange Money
1936,En tout j'ai pas encore reçu pour moi. Je suis très impatient j'attends !,Orange Money
1937,J’ai souscrit mardi bonus le mois passé depuis là vous allez rembourser on voit rienn,Orange Money
1938,Je viens de recevoir. Merci,Orange Money
1939,cest le fameux numéro?,Orange Money
1940,Rien reçu encore,Orange Money
1941,"Au lieu de prendre et donner comme le père Noël, supprimer ces frais en même temps",Orange Money
1942,J'ai pas encore reçu mon abonnement canal+,Orange Money
1943,Ceux qui avaient dit que c'était arnaque en ce moment.,Orange Money
1944,"LES GENS AIMENT TROP MENTIR ET ALIMENTER DES POLIMIQUE SANS RIEN SAVOIR..... JUSTE POUR CE JOUER LE INTERRESANT.... PERSONNE NE PEU VIDER TON COMPTE OM JUSTE PARCEQUE TU CONSULTE TON SOLDE,C'EST MEME PAS LES MÊME SYNTAXES EN PLUS",Orange Money
1945,Moi j'ai rien reçu oh,Orange Money
1946,Djaaaaaaa c'était vous,Orange Money
1947,Moi j'ai en rien reçu,Orange Money
1948,Communiquez vite quand c'est comme ça.,Orange Money
1949,Comment faire pour avoir une puce OM,Orange Money
1950,Avec Orange c'est la garantie total,Orange Money
1951,Pensez à donnez les avantages des clients qui paient des pass et qui ne peuvent en bénéficier. Depuis près d'un mois je vous poursuivis. C'est pas vraiment sérieux.,Orange Money
1952,Depuis la première remise là il n'y a pas eu d'autres remises c'est quoi le souci,Orange Money
1953,Moi je paie chaque jour mais rien,Orange Money
1954,Que Dieu facilite,Orange Money
1955,Une chance sur mille car nous sommes nombreux,Orange Money
1956,Moi j'ai besoin d'un prêt de 50 mille francs.,Orange Money
1957,Ah je serai parmi les gagnants j'espère,Orange Money
1958,C'est moi le gagnant inchallah,Orange Money
1959,"Depuis une semaine une semaine paiement effectué et jusqu'à la rien jusqu'à canal à couper mes chaînes eh
Orange Money",Orange Money
1960,Amen je reçois Amen,Orange Money
1961,Je prend le risque ( une surprise ),Orange Money
1962,La vie change avec orange,Orange Money
1963,Orange mon vieux numéro qui a 20ans attend aussi sa récompense,Orange Money
1964,Bonsoir Sa ba bien,Orange Money
1965,"Affaire de tresor caché de tout dernièrement, j'ai plus eu de nouvelles alors que j'ai joué...
Cm, faut voir là-bas",Orange Money
1966,Je dois gagné,Orange Money
1967,Mon oeil,Orange Money
1968,Comment on fait compte bloqué sur OM là !?,Orange Money
1969,Pensée à mes clients de playce ohh pardonner,Orange Money
1970,"Hum, j’ai jamais rien eu comme cadeaux hein de
Orange Money
pourtant je suis un fervent client, siencer obin",Orange Money
1971,J'espère qu'un jour je serai tiré çar je fais tout avec orange,Orange Money
1972,Je sors pas sans hein,Orange Money
1973,"L'application Max it de
Orange
ne s'ouvre pas actuellement. Est-ce un problème de réseau
?",Orange Money
1974,Huumm Orange aujourd'hui est mon anniversaire vous m'avez pas souhaité.,Orange Money
1975,Allons seulement,Orange Money
1976,Les gagnants sont déjà connus d'avance,Orange Money
1977,Que Dieu nous facilité,Orange Money
1978,Je fais tout avec Orange mais je sais si vous sélectionnez vos connaissances?,Orange Money
1979,même pas en rêve car je suis réaliste,Orange Money
1980,La semaine où j'ai eu plus 285000f points et je n'ai rien gagné comme cadeau je me suis décourager et j'ai arrêté le jeu,Orange Money
1981,Un jour ça sera moi,Orange Money
1982,A cette fois-ci je vous regarde hein sinon ...,Orange Money
1983,Bonsoir,Orange Money
1984,Je sais que je serais parmi les gagnants,Orange Money
1985,"Eh Dieu,aide nous",Orange Money
1986,L'homme recharge 1x bet Est-ce-que c'est compris dedans ?,Orange Money
1987,Comment ça se passe ?,Orange Money
1988,J'ai trop vu ça orange m'a envoyé message disant que je suis parmi les gagnants mais jusqu'à présent rien,Orange Money
1989,Quelle voiture coûte 1 million ?,Orange Money
1990,Waayê on peut brancher l'homme comme ça,Orange Money
1991,C'est ma destinée au nom Puissant de celui qui a créé le ciel et la terre,Orange Money
1992,D'accord,Orange Money
1993,"Orange Money
voyez le cas de ce numéro",Orange Money
1994,Inchallah,Orange Money
1995,"Grace Laeticia Afi
pour moi va sortir",Orange Money
1996,Même môrô,Orange Money
1997,C'est l'argent qui nous manque sinon ont veut être les gagnants aussi,Orange Money
1998,Svp orange pensez au problème de réseau dans la sous-préfecture de Diabo. Merci,Orange Money
1999,"Merci
Orange Money
, paix dans nos foyers et partout dans le monde",Orange Money
2000,Bonne fête de la paix à notre Nation,Orange Money
2001,"La paix c'est dans les actes qu'on pose, c'est un comportement qui différencie une personne d'une autre a s'accepter mutuellement et vivre ensemble dans le strict respect.",Orange Money
2002,"Bonjour , le 28 du mois passer j’ai effectué un achat sur Glovo et j’ai payer via OM après avoir été débité de 7200f la commande n’as pas été prise en compte , alors j’appel Glovo et Glovo me signifie que le problème est au niveau d’orange , alors j’appel Orange je fais une réclamation et mon dire que je serais restitué dans 48h et 48h après rien , depuis se jour je ne fais que appeler chaque 48h et c’est toujours la même procédure rien n’avance sa fera maintenant 1 mois le 28 novembre.
Merci de résoudre mon problème",Orange Money
2003,Orange Bonjour ! Vous n'avez pas encore résolu le problème de connection sur l'application max it avec les téléphones huawei. Je n'arrive toujours pas à me connecter sur l'application.,Orange Money
2004,Merci Orange Money,Orange Money
2005,Avec OM ton cœur est toujours à l'aise,Orange Money
2006,Avec Orange Money toujours à l'aise.,Orange Money
2007,Pour donner giga la sa vous fait mal oubien c'est.quoi sa la même,Orange Money
2008,Ôôôôrrr tu es quitté là-bas oubien,Orange Money
2009,"Orange Money
Merci pour ce cadeau",Orange Money
2010,"Avec
Orange Money
, rien ne se perd. C'est vraiment génial",Orange Money
2011,Je paie seulement. J'ai reçu une petite surprise. J'attends la voiture,Orange Money
2012,Qu'il fasse profil bas,Orange Money
2013,"Orange Money
On paye toujours mais on ne gagne jamais",Orange Money
2014,Moi je règle toutes mes factures avec Orange Monney peut être sa serais le moment de gagner cette voiture en tout bonne chance à tous,Orange Money
2015,"Orange Money
j'ai des paiements hier mais la cagnotte m'à pas activé",Orange Money
2016,C'est pour les Boss,Orange Money
2017,"Hum, un jeu qui n'a jamais,je dis qui n'a jamais de fin",Orange Money
2018,C'est ce que je suis entrain de faire pour gagner aussi et je sais que par la grâce de DIEU je vais gagner.,Orange Money
2019,Malheureusement on peut pas payer partout avec orange money,Orange Money
2020,"Je m'en vais payer mes courses avec
Orange Money
comme ça",Orange Money
2021,"Depuis 2 mois maintenant je n'arrive plus à utiliser l'application max it, j'ai appelé le service client, je me suis rendu en agence mais rien",Orange Money
2022,"Je crois bien mais , on verra bien .",Orange Money
2023,La tontine ce fait comment,Orange Money
2024,J'ai l'argent qui doit venir en semaine la dh que j'arrive je vais t'appeler tu vas venir chercher sa sinon depuis j'ai déjà payé faut partir je vais t'appeler hien,Orange Money
2025,"La personne qui gère la tontine peut être indisponible , alors que
Orange Money
est toujours disponible .",Orange Money
2026,Fin du Défi Tontine ! Merci à tous d'avoir participé et rendez-vous dans un prochain post pour découvrir les meilleures excuses sélectionnées !,Orange Money
2027,Ne nous Maa biotisé pas dh,Orange Money
2028,Tchai c'est bé sur moi hien mais y'a un jeton en cours là dh que ça tombe j'ai géré ça,Orange Money
2029,"Tu ne m'as pas vite dit,j'ai déjà épargné dans ORANGE BANK!",Orange Money
2030,Mais on fait tontines 100k on n'es 10 personne tu prends premier 1 semaine après tu meurs on fait comment,Orange Money
2031,J'ai un djai qui doit tombé c'est ça que j'attends,Orange Money
2032,"Ma chérie Bilou a avalé mortier oh tout mon argent est rentré dans hôpital
. Et ça grâce à mon épargne sur Orange Bank. Je crois que tu devrais faire comme moi. Les histoires de tontine Bio là je ne suis plus dedans
.",Orange Money
2033,Je dois vraiment solder la scolarité de mon fils a cet instant sinon il sera bloqué au portail,Orange Money
2034,"Tontine du quartier on fait tu cotises pour les gens, c'est à ton tour la gestionnaire voyage ou on la cambriole.orange money au moins est toujours disponible",Orange Money
2035,Au lieu vde faire tontine je préfère faire épargne sur mon compte Tik tak,Orange Money
2036,Y'a toujours ramba au dernier moment,Orange Money
2037,Hummm,Orange Money
0,Mais avec wave business on nous coupe des frais encore je ne comprends pas aidez-moi s'il vous plaît,WAVE
1,Suivre,WAVE
2,"Merci wave pour tout, grâce à toi la vie est simple et agréable.",WAVE
3,Y'a pas garçon pour wave.,WAVE
4,À sinfra ici on n'arrive pas a fait retrait wave,WAVE
5,Wave Côte d'Ivoire ou rien,WAVE
6,"Même les vendeurs ambulants de thé 100f
Ont wave
Wave c'est l'homme hein",WAVE
7,Wave on attend la puce,WAVE
8,Moi je ne cesserai jamais de remercier wave.,WAVE
9,"En tout cas depuis l'arrivée de WAVE on règle facilement les choses. Ça réduit les palabres sur monnaie.
Mais, moi j'attends mon gros cadeau, je suis fatigué de gagner 50 FRS ou rien",WAVE
10,"Le pingouin
forrrrrrrrrrrt!",WAVE
11,WAVE ci sont des anges,WAVE
12,MÊME TOCLO TOCLO PRENDS WAVE MAINTENANT WALLAH,WAVE
13,Merci wave,WAVE
14,Bjr wave svp j'essaie d'appeler ca ne passe pas j'ai fais un transfert a un numéro ki n'es pas wave,WAVE
15,"Mon
Wave Côte d'Ivoire
actuellement",WAVE
16,J'ai oublié mon code wave,WAVE
17,Wave merci encore,WAVE
18,Faite nous les cadeaux mainan wave chtrrr depuis la nous aussi on a temps,WAVE
19,"Wave Côte d'Ivoire
je suis à l’étape 118 toujours rien hee tchai c’est pas Cohen hym",WAVE
20,La côte d'ivoire a besoin de son quatrième réseau hein,WAVE
21,Tranquillement,WAVE
22,Wave c'est un hyper level. Il n'est pas camarade de quelqu'un mais il arrange Tout le Monde. Il n'est pas raciste,WAVE
23,Wave j'attends toujours hein,WAVE
24,Wave est formidable,WAVE
25,"Wave, on dit de te demander si tu es marié ?",WAVE
